年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,人口あたり外国人人口,43.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,多様性政策指数,33.6
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,首長選挙の投票率,
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,市区町村議会選挙の投票率,80.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,健康寿命（男性）,64.6
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,健康寿命（女性）,68.9
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,芸術家・著述家等割合,
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,国宝・重要文化財（建造物）数,46.9
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,日本遺産数,44.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,大卒・院卒者の割合,36.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,可住地面積あたり大学・短期大学数,46.4
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,可住地面積あたり私立・国立中高一貫校数,47.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,人口あたり生涯学習講座数,48.2
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,人口あたり生涯学習講座受講者数,54.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,人口あたり青少年教育施設利用者数,46.4
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,人口あたり女性教育施設利用者数,46.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,完全失業率,68.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,自分らしい生き方,若年層完全失業率,74.2
